"filename", "language", "Shell Script", "Batch", "Python", "XML", "comment", "blank", "total"
"c:\Users\HTTco\Desktop\MSL2-Python\.qt_for_python\uic\setting.py", "Python", 0, 0, 158, 0, 10, 13, 181
"c:\Users\HTTco\Desktop\MSL2-Python\SupportLib\kfq.ui", "XML", 0, 0, 0, -612, 0, -1, -613
"c:\Users\HTTco\Desktop\MSL2-Python\SupportLib\output.ui", "XML", 0, 0, 0, -43, 0, -1, -44
"c:\Users\HTTco\Desktop\MSL2-Python\SupportLib\setting.py", "Python", 0, 0, 0, 0, -12, -2, -14
"c:\Users\HTTco\Desktop\MSL2-Python\SupportLib\setting.ui", "XML", 0, 0, 0, 25, 0, 0, 25
"c:\Users\HTTco\Desktop\MSL2-Python\SupportLib\ui_setting.py", "Python", 0, 0, 7, 0, 0, 0, 7
"c:\Users\HTTco\Desktop\MSL2-Python\SupportLib\ui_start_options.py", "Python", 0, 0, 44, 0, 10, 8, 62
"c:\Users\HTTco\Desktop\MSL2-Python\kfq.ui", "XML", 0, 0, 0, 612, 0, 1, 613
"c:\Users\HTTco\Desktop\MSL2-Python\main.py", "Python", 0, 0, -6, 0, 0, -1, -7
"c:\Users\HTTco\Desktop\MSL2-Python\output.ui", "XML", 0, 0, 0, 43, 0, 1, 44
"c:\Users\HTTco\Desktop\MSL2-Python\ui_kfq.py", "Python", 0, 0, 300, 0, 10, 104, 414
"c:\Users\HTTco\Desktop\MSL2-Python\ui_output.py", "Python", 0, 0, 26, 0, 10, 10, 46
"c:\Users\HTTco\Desktop\MSL2-Python\update_gui.cmd", "Batch", 0, 1, 0, 0, 0, 0, 1
"c:\Users\HTTco\Desktop\MSL2-Python\update_gui.sh", "Shell Script", 1, 0, 0, 0, 0, -1, 0
"Total", "-", 1, 1, 529, 25, 28, 131, 715
